L1,L2-3,L4,L5,L6,genes
0.00039017,0.000405,0.00052692,0.00041787,0.00048949,Cdc42
0.00071401,0.00074628,0.00096563,0.00083237,0.00082457,Cspg5
4.3063e-05,4.1926e-05,9.5216e-05,5.8464e-05,7.6876e-05,Ywhah
0.00016669,0.00020443,0.000102,0.00019164,0.00020907,Rab9
1.1899e-06,1.0972e-06,2.0654e-06,1.2927e-06,1.319e-06,Gm5863
0.00012371,0.00012092,0.00015701,0.00010095,0.00014937,Gatad1
0.00012169,9.9008e-05,0.0001398,0.00021082,0.00014202,Pja2
0.00023402,0.00029002,0.00022216,0.00020381,0.0002636,Klf15
4.9514e-05,5.6168e-05,7.1753e-05,6.5345e-05,4.3065e-05,Ralb
5.9012e-05,5.5084e-05,7.624e-05,2.3327e-05,7.0858e-05,Ap2a2
3.0045e-06,4.8242e-06,1.7268e-06,2.8703e-06,3.741e-06,Gm22714
0.00020833,0.0002101,0.00029355,0.00016235,0.00019639,Wfs1
7.6484e-05,0.00011889,9.2254e-05,0.00010008,7.7695e-05,Ctnnbl1
0.00037503,0.00049323,0.00043168,0.00055405,0.00039507,Tnfrsf19
0.00029587,0.00042695,0.00022867,0.00020446,0.0003131,Acaa1a
2.2588e-06,1.9501e-06,4.7593e-06,2.0824e-06,2.4492e-06,Gm5913
4.5793e-05,5.4156e-05,4.0105e-05,4.7576e-05,5.0481e-05,Pex11b
4.6799e-05,7.4767e-05,7.242e-05,5.2017e-05,7.0625e-05,Rab3gap1
5.2692e-05,7.1727e-05,5.2651e-05,0.00011375,7.0695e-05,Rbp1
4.2143e-05,5.7025e-05,9.7654e-05,5.8815e-05,2.7628e-05,Wdr43
0.00011625,0.0001212,0.00018582,0.00014247,0.0001715,Ap3d1
5.0351e-05,2.2767e-05,3.4462e-05,6.3383e-05,7.5887e-05,Sp3
1.8203e-06,3.7842e-07,5.7402e-07,5.0983e-07,1.3239e-06,Gm7180
0.00055457,0.00048156,0.0003091,0.00046504,0.00048876,Son
9.5977e-05,0.00010399,6.8598e-05,0.00017064,0.00010671,Syf2
4.8256e-05,3.2208e-05,6.0954e-05,4.1518e-05,7.5379e-05,Src
9.5992e-05,8.4456e-05,0.00016819,0.000154,0.00012098,Pacsin3
5.8356e-05,4.5813e-05,4.8847e-05,4.231e-05,6.8324e-05,Eif3d
5.3365e-05,0.00010894,9.2299e-05,6.0353e-05,7.3955e-05,Eif3e
0.00012281,0.00015122,0.00019126,9.4574e-05,0.00013937,Eif3i
0.00022607,0.00025782,0.0002756,0.0003233,0.00025296,Paqr4
0.00013775,8.8579e-05,0.00019056,0.00010512,0.00015912,Dnm1l
4.9572e-05,5.3714e-05,0.00010276,4.5206e-05,6.9907e-05,Tmem11
0.00034087,0.0003598,0.00043858,0.00044837,0.00027678,Kirrel2
6.9775e-05,5.1559e-05,0.00011916,5.2165e-05,7.603e-05,Pcif1
